radius_nm,n_material,wavelength_nm,qsca,qext
87.41722139252525,2.1072435930506774,659.3027816311288,0.45729907892842203,0.45729907892842203
191.1285751537849,2.256017676629647,468.9545448420665,2.1914477746113943,2.1914477746113943
151.75890952605292,1.6005614785509987,748.957825341926,0.6787830886841474,0.6787830886841474
127.7585271554666,2.0498489195283986,645.2464956276966,2.1704575479571875,2.1704575479571875
48.083355279638575,1.9860951797724984,462.8815534227817,0.1363250462440056,0.1363250462440056
48.07901366051648,2.2993964521459254,784.9352229924827,0.02189833194537284,0.02189833194537284
30.455050190275905,2.3873044725775125,607.3461853341282,0.010359315758831754,0.010359315758831754
175.91170623948832,1.3145881257728642,429.159380748662,1.1698184738353758,1.1698184738353758
128.2007021137776,2.1088239028705513,650.7331617660269,2.5151637569882577,2.5151637569882577
147.4530640032882,1.3622029589436748,501.2795628051241,0.6932351700469571,0.6932351700469571
23.70520897324444,1.958630398092827,721.4773807509209,0.0011622361248359715,0.0011622361248359715
194.58377338915898,1.6451592748524138,727.1288294264763,2.028246942494301,2.028246942494301
169.8396753440759,1.6681319194265694,791.5789423418647,1.0029434857643549,1.0029434857643549
58.22103992208971,1.723550204142828,600.7478124098016,0.06159547743018125,0.06159547743018125
52.72849409727811,2.0455509388595323,581.9827518910948,0.08390694862748642,0.08390694862748642
53.01281177361809,1.700859958802523,701.3902421785922,0.02118344563566734,0.02118344563566734
74.76360373271679,2.1792388607083364,452.9882625367706,1.25869962442843,1.25869962442843
114.45615769380281,1.7854328626886438,618.7662055172497,0.86318888331663,0.86318888331663
97.75010335558083,1.3820238403719505,618.4990400523404,0.12298378467312669,0.12298378467312669
72.42124523564755,2.2405118109809288,435.7892491241549,1.4438763339593683,1.4438763339593683
130.13352105002832,1.6429099895112471,567.1936342027655,1.1466687203891268,1.1466687203891268
45.10889491736753,1.819320255519115,741.3139194268808,0.011229452770809787,0.011229452770809787
72.58603673633927,2.1225326598662817,742.4614487978641,0.1285137145101749,0.1285137145101749
85.9451317928645,1.6989473885784545,439.6950659678724,0.8207362417741548,0.8207362417741548
102.09259715906647,1.3679027873760587,436.28835309913234,0.38042273139057103,0.38042273139057103
161.33167305074244,1.7487052564153762,505.0781908007741,3.1849398641587863,3.1849398641587863
55.941280788504756,2.433338299233164,749.9064250215974,0.05639039580485301,0.05639039580485301
112.5621989144501,2.0700812767582697,451.5610340293996,4.301782684757425,4.301782684757425
126.63462239516764,2.1057749784006483,687.9987210509785,1.7526299442256095,1.7526299442256095
28.361074289599593,2.0587385843651678,440.4662478452413,0.020591549954579364,0.020591549954579364
129.3580733422589,1.5387905667513242,649.2551414991301,0.5207164571563053,0.5207164571563053
50.69434226371247,1.8020006369227362,542.4269196476579,0.06303997204421614,0.06303997204421614
31.70928673735031,2.201127758035982,715.5655851863469,0.005253449841435635,0.005253449841435635
190.79939670559997,1.421647477063791,493.47617953014543,1.799274373501777,1.799274373501777
193.81376595342067,1.6334233313076547,655.680731755984,2.496327471548409,2.496327471548409
165.511522660963,1.6315829301590243,494.273013830354,2.7488325772702313,2.7488325772702313
74.83047845120672,1.8184227131134072,685.4641132448614,0.12362892461400962,0.12362892461400962
37.5809805211491,2.476442489130622,749.4712138242995,0.011113781015874156,0.011113781015874156
143.16194477218824,1.3810030560205864,450.72071965070404,0.981036319547939,0.981036319547939
99.22744887312824,1.922441193256714,746.6382754382014,0.3392575534624059,0.3392575534624059
41.96688227206019,1.5152376184146525,637.4301017657192,0.007183050337687042,0.007183050337687042
109.13184382002864,2.464811854491693,450.8441963468096,4.129365364885268,4.129365364885268
26.18993380073931,1.4359642056729571,571.0167421438848,0.0012581978645878327,0.0012581978645878327
183.67767237418076,1.7843212028339095,464.34411739403913,4.745816232217203,4.745816232217203
66.58039668800305,2.1854619818015273,680.1391555466278,0.13988790554332609,0.13988790554332609
139.25401118371676,2.1454653136329345,703.5472537671799,2.9047822198578475,2.9047822198578475
76.10799369609397,1.8072743642727187,442.31860810911957,0.711182422759091,0.711182422759091
113.61224381200594,1.7158290015432618,602.4559410778577,0.7673045410189898,0.7673045410189898
118.40785028179033,1.7771348542634446,725.8500224103668,0.5480481422905676,0.5480481422905676
53.27380199459487,1.6171315157903672,774.4652166203987,0.011690720016529868,0.011690720016529868
194.52523299762055,1.5463995264481598,605.407146696708,2.160666722686752,2.160666722686752
159.52390820500062,1.879647637070668,780.1116894445629,1.563079370434175,1.563079370434175
189.10980948155404,1.6222405072811288,614.2755881824119,2.544839933958353,2.544839933958353
181.0689230769768,1.6449539978767,557.6761978399632,2.7617348894867355,2.7617348894867355
127.62199618599533,2.0881072761694686,739.2812514211582,1.2838400555857634,1.2838400555857634
185.93736230416104,2.4622447980398707,597.1930841832357,3.5658067343303297,3.5658067343303297
35.92865036934551,2.02436464067125,588.7610042258092,0.01576705267847325,0.01576705267847325
55.27691523544613,1.3923753604779596,596.1249957639313,0.017138983111535847,0.017138983111535847
28.14091200389685,1.3907003366248805,738.7140007478981,0.0004926722793401708,0.0004926722793401708
78.55945953738758,2.441707865014679,732.7766166752208,0.27270476554362555,0.27270476554362555
89.96191214410676,1.6567489483688003,561.4079969760845,0.3739269918409738,0.3739269918409738
68.84282571930126,1.4104803832989705,533.31994394821,0.06745691377350953,0.06745691377350953
169.17275164734727,2.018853504580458,596.7712096156517,3.7466964547612323,3.7466964547612323
84.21559880484607,2.0483785339483194,629.1090038948437,0.4344386248156425,0.4344386248156425
70.56821174372854,2.0782057841424257,495.3348842511988,0.5878956710789287,0.5878956710789287
117.68529496848473,1.6208824334290495,717.5820338862363,0.3646347595532288,0.3646347595532288
45.36636049545727,1.3181328210573702,594.5931062929692,0.005354569525203567,0.005354569525203567
164.39545653572713,2.4580184433453662,533.6182193679838,3.5595203471005266,3.5595203471005266
33.41911586235875,1.601071654829323,442.72839718559624,0.016269223744814123,0.016269223744814123
197.6396485880931,2.111231545663057,495.5380641614428,3.8760243262701373,3.8760243262701373
159.00405847339835,2.1479558438544517,779.7124687023935,3.531878480394931,3.531878480394931
55.76882267615103,2.032008900495383,522.0398747278107,0.16469401768849928,0.16469401768849928
20.993981082248432,1.675488873056378,467.54371574681414,0.0024247082956888122,0.0024247082956888122
166.78305712187014,1.625315504516879,584.2691166619973,2.272945103772302,2.272945103772302
147.23432189257107,2.0172019392432436,522.8350973440995,3.74892339625221,3.74892339625221
151.2212902473777,2.33931476033403,414.06370010847763,3.3735977231609477,3.3735977231609477
158.82866240347025,2.4360804747080747,529.2580869117669,3.8407675035372915,3.8407675035372915
33.32803731213627,1.4270869652845093,617.6434495757874,0.002323314378675164,0.002323314378675164
84.52383113796907,1.4857943351172638,620.6849488079868,0.11455419435116464,0.11455419435116464
40.85643071452335,2.4336835105396957,542.6235684707555,0.05867610690695028,0.05867610690695028
175.35861665760683,2.1838422740017513,578.9211025010402,5.937956140829019,5.937956140829019
132.19366282896044,2.359592589795728,786.2071672939065,1.9232848326467684,1.9232848326467684
79.56164447347686,1.5431591609624118,550.9393908921246,0.1772253761476292,0.1772253761476292
31.440503051484257,2.0051030453312824,503.2907253039932,0.01690302192765487,0.01690302192765487
75.9768179088192,2.1413675133009686,497.38681762670404,0.8614578887871231,0.8614578887871231
78.53299796481447,2.116134262536367,583.1058450816537,0.4945727046291822,0.4945727046291822
151.32911210085155,1.7897820290400377,703.8080594867777,1.4661802815954075,1.4661802815954075
134.76034484393836,1.3184738700295702,482.39527367538926,0.4519865395242241,0.4519865395242241
179.69829366373878,1.999511268165116,683.7184508563073,3.981231851961894,3.981231851961894
104.99868652915087,1.6037218470155306,408.4599293397665,1.476232546950932,1.476232546950932
41.526964268894304,1.8403050953714684,567.5731911935784,0.024809633570895835,0.024809633570895835
148.3840617001391,2.449097218100581,710.3460260811148,5.3893037323752795,5.3893037323752795
156.94130875104153,1.7788423811709217,535.4931823097726,3.268758915053644,3.268758915053644
121.02989556250932,2.307761927997312,625.4948405781598,4.324301335474909,4.324301335474909
158.77409239182097,1.5262487268991014,481.9916931303643,2.0939873516765175,2.0939873516765175
108.88320734559034,2.1069525976300345,696.7981564504689,0.8929296662270989,0.8929296662270989
114.09190928875893,2.4724083453267323,420.9116413075038,6.417809930128697,6.417809930128697
96.95738330453894,1.4222717210475242,741.0170579502001,0.07503313604064347,0.07503313604064347
24.575442813937133,1.3099839306726304,479.27855456866723,0.0010557467379444514,0.0010557467379444514
39.4204568587948,1.8202993511591372,749.7592126833323,0.0062099072066459276,0.0062099072066459276
25.657253423612165,1.4111505796616406,541.0116965202069,0.0012956094594205993,0.0012956094594205993
134.55387402748048,2.1980612196114775,689.0734297897947,3.1660698260103715,3.1660698260103715
76.5840765937388,2.397458396618271,527.6901191144754,0.9968397290071895,0.9968397290071895
111.5427244096465,1.8208251672505105,762.364668493859,0.4037545775233777,0.4037545775233777
183.36196530669673,1.610453970586529,450.65485020734974,3.8747067909139545,3.8747067909139545
64.87260124679749,1.8212839828079317,471.40791570903946,0.3180772347821679,0.3180772347821679
93.86892614641336,2.168137381420001,597.2120500635209,1.0095587378611366,1.0095587378611366
155.99920493774877,1.3108649938964452,432.77537561525844,0.8779288407935819,0.8779288407935819
61.18366978849204,2.0073447873816366,478.39207388070474,0.3366064591905517,0.3366064591905517
33.85638376918274,2.035950021864855,777.5065528848057,0.0040365087680584435,0.0040365087680584435
72.15526152447825,2.0652258962751224,790.5958644591549,0.08894996066724878,0.08894996066724878
49.0198317057208,1.5904264959770527,550.5037317321687,0.030730775159796955,0.030730775159796955
187.34557742166317,2.156863268053752,769.3144084055743,4.408119807539308,4.408119807539308
165.46166832159506,1.4096697835981318,617.9298702693727,0.6869338991917957,0.6869338991917957
134.01267617187622,1.539124403760161,507.89698634950685,1.225140672438099,1.225140672438099
176.86290623378918,2.352964055985378,680.9594884322395,4.058213381541443,4.058213381541443
164.66097384184062,2.1864677808718795,663.5607226299428,4.221654896085334,4.221654896085334
53.58261059948645,1.3164946648136144,795.6501276434933,0.0032381949744304285,0.0032381949744304285
180.660619728196,1.5980515124437602,506.0189149637133,2.750522657554701,2.750522657554701
117.08160354481713,1.5572877795917974,668.8238010646942,0.36971685016397043,0.36971685016397043
